Name,Link,Area,State Served,Other Limitation,Overview,Grant Guidelines,Foundation Information
Balmes Trust,https://www.wellsfargo.com/private-foundations/balmes-trust,Health; Human Services,All,"There are no program or geographic limitations; however, the foundation has a practice of primarily supporting organizations that repair or care for those who have lost limbs in military duty for the United States, and secondarily supports organizations that actively improve Southern California.",,,
Emma Barnsley Foundation,https://www.wellsfargo.com/private-foundations/barnsley-foundation,"Education; Environment, Animals",New York                Texas,"Grants are awarded for the prevention of cruelty to animals and the study, care, protection, and preservation of animals, both domestic and wild, and their environment.  There are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in New York and Texas.",,,
"H. G. Barsumian, M.D. Memorial Fund",https://www.wellsfargo.com/private-foundations/barsumian-memorial-fund,Health,Pennsylvania,"Limited to 501(c)(3) organizations which support medical research.  There are no geographic restrictions, however, the trust has a practice of supporting organizations located in Lancaster, Pennsylvania.",,,
Bartlett Foundation,https://www.wellsfargo.com/private-foundations/bartlett-foundation,Education; Health; Human Services,Pennsylvania,"Limited to 501(c)(3) organizations which support various charitable causes in Berks County, Pennsylvania.",,,
The Will Paul Bateman Scholarship,https://www.wellsfargo.com/private-foundations/bateman-scholarship,Education,Florida,Grants are made only to qualifying colleges and universities in the State of Florida for scholarships.,,,
Erwin C. Bauer Charitable Trust Fund,https://www.wellsfargo.com/private-foundations/bauer-charitable-trust-fund,"Education; Environment, Animals; Health; Human Services; Public/Society Benefit",Connecticut,"Supports organizations that provide education, conservation and agricultural programs, medical care, public health, housing, and social services for the residents of the Town of Madison, CT.",,,
Anthony F. Bauer Trust Fund ,https://www.wellsfargo.com/private-foundations/bauer-trust-fund,Health; Human Services; Education,Connecticut,Limited to 501(c)(3) organizations supporting blind or handicapped persons.,,,
Cordelia Lee Beattie Foundation,https://www.wellsfargo.com/private-foundations/beattie-foundation,"Arts, Culture and Humanities; Education; Health",Florida,"Limited to 501(c)(3) organizations in Sarasota County, Florida with particular attention to the requirements of the various cultural organizations, including the West Coast Symphony Orchestra and its scholarship trust fund if the scholar is seriously interested in pursuing a musical career.  Organizations may not apply to both this foundation and Sarasota County Foundation within the same year.",,,
Elizabeth Hurlock Beckman Award Trust ,https://www.wellsfargo.com/private-foundations/beckman-award-trust,Education; Public/Society Benefit,All,"Individuals nominated for the award must be current or former teachers, professors, or instructors in any academic field. Preference will be given to educators in the fields of psychology, medicine, or law. To be considered, the educator must currently teach or have taught at a United States college, university, junior college, community college, or technical school. Award candidates must be United States citizens or permanent resident aliens.",,,
Otto P. Berdach Trust,https://www.wellsfargo.com/private-foundations/berdach-trust,Health; Human Services; Public/Society Benefit,California                Illinois,Grants are made to organizations that assist individuals in genuine need of financial assistance. No grants will be made to religious or educational organizations with the exception of the Salvation Army.,,,
Frank and Lydia Bergen Foundation,https://www.wellsfargo.com/private-foundations/bergen-foundation,"Arts, Culture and Humanities; Education",New Jersey                New York,"Focuses on music education — paramount consideration given to traditional classical music programs. There are no geographic limitations, however, the trust has a practice of primarily supporting organizations located in New York and New Jersey.",,,
Steven and Ilene Berger Family Foundation,https://www.wellsfargo.com/private-foundations/berger-family-foundation,Health; Public/Society Benefit; Education,Pennsylvania,Limited to organizations which qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code and support various charitable causes in Pennsylvania.,,,
Bethlehem Foundation,https://www.wellsfargo.com/private-foundations/bethlehem-foundation,Education; Health; Human Services,California,Grants are made to nonprofit organizations operating in and benefiting the senior community of Northern California.,,,
Karl A. Bickel and Madira Bickel Journalistic Scholarship Fund,https://www.wellsfargo.com/private-foundations/bickel-journalistic-scholarship-fund,Education,All,"The Trust has no geographic restrictions, but has primarily supported universities located in Florida that have journalism programs.",,,
Charles and Ruth Billingsley Foundation,https://www.wellsfargo.com/private-foundations/billingsley-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Religion; Public/Society Benefit",California,"There are no geographic restrictions; however, the Trust has a practice of primarily supporting organizations located in San Diego County, California.",,,
Inez Duff Bishop Charitable Trust,https://www.wellsfargo.com/private-foundations/bishop-charitable-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",Virginia,"Grants are awarded to charitable organizations for a broad range of activities. Preference will be given to organizations providing services to the visually impaired and to underprivileged individuals in need of hospital and medical care. The trust has a practice of primarily supporting organizations located in Charlottesville or Albemarle County, Virginia.",,,
Benjamin A. Black Charitable Trust for Children,https://www.wellsfargo.com/private-foundations/black-charitable-trust-children,Education; Health; Human Services,Nebraska,Grants are awarded to charitable organizations that support economically deprived children living in Nebraska.,,,
Allan and Margot Blank Foundation,https://www.wellsfargo.com/private-foundations/blank-foundation,"Arts, Culture and Humanities",Virginia,"The Foundation supports chamber groups (not orchestras), choral groups, and soloists that perform contemporary music (not jazz, folk music or electronic music); and artistic organizations that exhibit regional (preferably within the greater  Richmond area) artists.",,,
Bradford T. Blauvelt Memorial Trust Fund,https://www.wellsfargo.com/private-foundations/blauvelt-memorial-trust-fund,Education; Health; Human Services,New Jersey,"Limited to 501(c)(3) organizations that support causes in the areas of health, human services and educational services located in Ocean County, New Jersey.",,,
Alice E. and Joseph C. Blewett Foundation,https://www.wellsfargo.com/private-foundations/blewett-foundation,"Arts, Culture and Humanities; Education; Religion; Public/Society Benefit; Human Services; Health; Environment, Animals",Texas,"There are no program or geographic limitations; however, the foundation has a practice of primarily supporting organizations located in and around Dallas, Texas.",,,
Bono Brothers Memorial Trust,https://www.wellsfargo.com/private-foundations/bono-brothers-memorial-trust,Religion; Human Services; Health; Education,California,"Grants are made to Catholic charitable organizations operating in Marin County, California for the care, support, maintenance, benefit, and education of needy children residing in Marin County, California.",,,
Jesse N. Bosang Trust,https://www.wellsfargo.com/private-foundations/bosang-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",Virginia,"Grants support charitable purposes in Pulaski County, Virginia.",,,
Bowker Foundation,https://www.wellsfargo.com/private-foundations/bowker-foundation,Education; Health; Human Services,Indiana,"Grants must promote the education, health, welfare and rehabilitation of young women in the State of Indiana and primarily Fort Wayne and Allen County.",,,
The Bowsher Booher Foundation,https://www.wellsfargo.com/private-foundations/bowsher-booher-foundation,Education; Health; Human Services,Indiana,"Primarily supports  early childhood education in South Bend, Indiana and St. Joseph County, Indiana.",,,
Mary Allen Lindsey Branan Foundation,https://www.wellsfargo.com/private-foundations/branan-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Intl/Foreign Affairs; Public/Society Benefit; Religion",Georgia,There are no geographic restrictions — it has been the practice of the trustee to make grants within the state of Georgia.,,,
Marie H. Brookreson Trust,https://www.wellsfargo.com/private-foundations/brookreson-trust,Education; Health; Human Services,All,Grants are awarded to  finance or help finance homes for the blind and to organizations that provide assistance to the blind.,,,
Olive Smith Browning CharitableTrust,https://www.wellsfargo.com/private-foundations/browning-charitable-trust-olive-smith,"Public/Society Benefit; Religion; Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services",Idaho,"There are no geographic limitations; however, the trust has a practice of primarily supporting organizations in Twin Falls, Idaho.",,,
Ida W. Browning Trust,https://www.wellsfargo.com/private-foundations/browning-trust-ida,Education; Religion,Pennsylvania,"Limited to 501(c)(3) organizations, located in Harrisburg, Pennsylvania, that promote religious, educational and character building initiatives through audio-visual educational means.",,,
Fred and Nancy Brumley Foundation,https://www.wellsfargo.com/private-foundations/brumley-foundation,Human Services,North Carolina,"The foundation supports programs that assist poor, deprived, and neglected persons in Mecklenburg County, North Carolina, and within a fifty-mile radius of Charlotte, North Carolina.",,,
Emil Buehler Perpetual Trust,https://www.wellsfargo.com/private-foundations/buehler-perpetual-trust,Education,All,"Limited to institutions, organizations, and foundations that carry forward research and development of new and improved aircraft and promote the field of aviation science and technology.",,,
Tom F. Bunge Charitable Trust,https://www.wellsfargo.com/private-foundations/bunge-charitable-trust,Human Services,Michigan                Indiana,"Supports organizations that serve the needs of homeless persons in St. Joseph County, Indiana and Ann Arbor, Michigan.",,,
Ralph L. and Florence R. Burgess Trust,https://www.wellsfargo.com/private-foundations/burgess-trust,"Arts, Culture and Humanities",Colorado,"Grants are limited to charities supporting the performing arts within the city and county of Denver, Colorado, and to specific charities named by the donor.",,,
Andrew Burgin Charitable Trust,https://www.wellsfargo.com/private-foundations/burgin-charitable-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",Alabama,"There are no geographic limitations; however, the Foundation has a practice of supporting organizations located in the State of Alabama.",,,
"W. W. Burgiss Charities, Inc.",https://www.wellsfargo.com/private-foundations/burgiss-charities,Education; Health; Human Services; Public/Society Benefit; Religion,South Carolina,"Grants are made to charitable organizations that benefit the residents of Greenville County, South Carolina with a primary focus on promoting the causes of religion, educating the underprivileged, and assisting the poor, sick, helpless, and needy.",,,
Cameron Charitable Trust,https://www.wellsfargo.com/private-foundations/cameron-charitable-trust,Health; Human Services,North Carolina,"The trust supports programs that benefit the poor and needy or the ill and infirm. There are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in the triangle region of North Carolina.",,,
Florence V. Carroll Charitable Trust,https://www.wellsfargo.com/private-foundations/carroll-charitable-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",Indiana,"Supports a variety of public and charitable purposes that benefit the general public in St. Joseph County, Indiana.",,,
The Paulina and Stephen Cepreghy Foundation,https://www.wellsfargo.com/private-foundations/cepreghy-charitable-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",New Jersey,"There are no program or geographic limitations, however, the trust has a practice of supporting organizations located in New Jersey.",,,
Stanley A. and Flora P. Clark Mem Comm Trust Foundation,https://www.wellsfargo.com/private-foundations/clark-memorial-community-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",Indiana,"Supports charitable purposes which will benefit the residents  of South Bend, Indiana and St. Joseph County, Indiana.",,,
Clark Memorial Fund,https://www.wellsfargo.com/private-foundations/clark-memorial-fund,Health; Human Services,Virginia,"Grants are limited to charitable organizations that defray the cost of hospitalization or provide medical services to needy and indigent residents of Halifax County, Virginia.",,,
Earl and Maxine Claussen Trust,https://www.wellsfargo.com/private-foundations/claussen-trust,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",All,"There are no geographic limitations; however, the trust contains a preference for distributions to be used within the Grand Island, Nebraska metropolitan area, which the trustee defines as consisting of Hall, Merrick and Howard counties.",,,
Ella B. Cleveland Trust,https://www.wellsfargo.com/private-foundations/cleveland-trust,Health,All,"Grants are limited to 501(c)(3) organizations that support medical research in the areas of leukemia, muscular dystrophy, and cerebral palsy. There are no geographic limitations; however, the trust has a practice of primarily supporting organizations located in Georgia.",,,
The Sadie Meyer and Louis Cohn Foundation ,https://www.wellsfargo.com/private-foundations/cohn-foundation,Human Services; Health; Education,California,"The foundation  provides support for needy persons, charitable organizations, and worthy causes, with primary consideration for education of the needy, to charitable organizations that qualify as exempt under both the Internal Revenue Code and the California Revenue and Taxation Code.",,,
Buster Coleman Charitable Foundation,https://www.wellsfargo.com/private-foundations/coleman-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Religion",All,"Exclusively for religious, charitable, scientific, literary or educational purposes and for the prevention of cruelty to children or animals.",,,
Frederic C. Collin Trust,https://www.wellsfargo.com/private-foundations/collin-trust,"Arts, Culture and Humanities",All,"Limited to 501(c)(3) organizations that promote polo and tennis as sports, especially among young players.",,,
The Collins Foundation,https://www.wellsfargo.com/private-foundations/collins-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Religion",Colorado,"Grants are limited to organizations located in or providing services to Boulder County, Colorado.",,,
Gene Conley Foundation,https://www.wellsfargo.com/private-foundations/conley-foundation,"Arts, Culture and Humanities; Education; Environment, Animals; Health; Human Services; Public/Society Benefit; Religion",Texas,"There are no program or geographic limitations; however, the trust primarily supports organizations located within north central, Texas.",,,
Conscious Kids,https://www.wellsfargo.com/private-foundations/conscious-kids,"Arts, Culture and Humanities; Education; Human Services; Public/Society Benefit",New Jersey                New York,Grants are considered for scholarships and other programs for at-risk children and young adults up to age 29 in New York and New Jersey.,,,
Leandre A. and Angele F. Contat Trust,https://www.wellsfargo.com/private-foundations/contat,Education; Health; Human Services,All,"The Trust provides grants to organizations located in France that help with the care, education, maintenance and support of orphans living in France or provide support to out-of-home youth and/or unaccompanied children in France.",,,
The Ruby J. Craddock Memorial Trust,https://www.wellsfargo.com/private-foundations/craddock-memorial-trust,"Human Services; Health; Environment, Animals; Education",Utah,"There are no geographic limitations; however, the Trust has a practice of primarily supporting organizations located in Utah. Grants are specifically limited to support for the care and well-being of animals, adolescent intervention programs, epilepsy education and research, and programs for the home care of the terminally ill.",,,
Cressey Family Charitable Trust,https://www.wellsfargo.com/private-foundations/cressey-family-charitable-trust,Education,Oregon,"Grants are awarded to the City of Eugene Public Library and non-profit organizations in the Eugene/Springfield area of  Oregon, that emphasize education generally, and literacy and reading programs specifically.",,,
Irma L. and Abram S. Croll Charitable Trust,https://www.wellsfargo.com/private-foundations/croll-charitable-trust,"Arts, Culture and Humanities; Education; Health",New York,"The foundation has a practice of primarily supporting charitable organizations located in the New York City area. Preference may be given to programs related to arts, culture, humanities, education, health and orangizations that serve the Jewish population.",,,
Cullum Foundation,https://www.wellsfargo.com/private-foundations/cullum-foundation,Education; Health; Human Services; Public/Society Benefit; Religion,Georgia,"There are no program or geographic limitations; however, the foundation has a practice of primarily supporting organizations in the city of Augusta, Georgia and in Richmond County, Georgia.",,,
Irene D. Cunningham Trust,https://www.wellsfargo.com/private-foundations/cunningham-trust,Health; Human Services; Public/Society Benefit,Pennsylvania,"Limited to 501(c)(3) organizations that support the needy poor in Delaware County and Chester County, Pennsylvania.",,,
The First Lieutenant Peter F. Cureton Jr. Foundation,https://www.wellsfargo.com/private-foundations/cureton-foundation,"Environment, Animals; Human Services",South Carolina,"The foundation only supports charitable causes in the areas of animal welfare, human services, and programs for veterans.",,,
Effie H. Curtis and Edward H. Curtis Trust Fund,https://www.wellsfargo.com/private-foundations/curtis-trust-fund,Health,Colorado,"Grants are limited to benefiting children under the age of eighteen who are residents of Larimer County, Colorado.",,,
L.B. Danford Charitable Trust,https://www.wellsfargo.com/private-foundations/danford-charitable-trust,Education; Health; Human Services; Religion,Texas,"Grants are limited to charitable organizations specifically named by the donor and other charitable, religious, or governmental organizations located within Brazos County and Grimes County, Texas.",,,
Elmer Roe Deaver Foundation,https://www.wellsfargo.com/private-foundations/deaver-foundation,Human Services,Pennsylvania,"Grants are awarded to qualified 501(c)(3) organizations that benefit Philadelphia area residents, to relieve poverty.",,,
,,,,,"MissionThe Arthur F. and Alice E. Adams Foundation was established in 1985 as a private foundation to honor its founders, Mr. and Mrs. Adams. The foundation provides grants to charitable organizations primarily to benefit arts, culture, humanities, and education in the Memphis, Miami, and New York City areas.Annual application deadlinesFebruary 15, 2025 for review at a Spring 2025 meeting.Contact informationMailing address:Arthur F. and Alice E. Adams FoundationWells Fargo Wealth ManagementAttn: Grant AdministrationMAC D4001-052100 North Main Street, 5th FloorWinston-Salem, NC 27101Email: grantadministration@wellsfargo.comProgram areasArts, culture, and humanitiesEducationProgram limitationsThe Foundation only considers requests for project sponsorships. The Foundation does not accept requests for general operating, capital campaigns or endowment support. The Foundation does invite proposals for innovative programs, performances, publications, etc. specifically in the areas of the arts, music, culture and education. All specific programs, performances, publications, etc. must be scheduled to commence 12 months or more from the proposal submission deadline of February 15, 2025 (i.e., commencing after February 15, 2026). Any Grantee receiving a distribution of funds from the Foundation must wait a minimum of one year before applying for a new grant (for example: if a Grantee receives a grant payment from the Foundation in 2024, then the grantee cannot apply for a new grant until 2026). This is regardless of whether the distribution is made within the same fiscal year as the proposal was granted or from a previous application.  While not specifically prohibited, multi-year grants are discouraged and less likely to be approved. Further, with limited exception, grant requests over $50,000 will not be approved.States servedFloridaNew YorkTennesseeGeographic limitationsThere are no geographic limitations; however, the foundation has a practice of primarily supporting organizations located in Memphis, Miami, or New York City areas.","RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.LimitationsThe Foundation only considers requests for project sponsorships. The Foundation does not accept funding requests for general operating, capital campaigns, or endowment support. The Foundation does invite proposals for innovative programs, performances, publications, etc. specifically in the areas of the arts, music, culture and education.All specific programs, performances, publications, etc. must be scheduled to commence 12 months or more from the proposal submission deadline of February 15, 2025 (i.e., commencing after February 15, 2026).Any Grantee receiving a distribution of funds from the Foundation must wait a minimum of one year before applying for a new grant (for example: if a Grantee receives a grant payment from the Foundation in 2024, then the grantee cannot apply for a new grant until 2026). This is regardless of whether the distribution is made within the same fiscal year as the proposal was granted or from a previous application.While not specifically prohibited, multi-year grants are discouraged and less likely to be approved. Further, with limited exception, grant requests over $50,000 will not be approved.Grantmaking prioritiesThe foundation assists with funding of specific projects.Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by February 15, 2025 to be reviewed at the annual grant meeting that occurs in the Spring 2025.CommunicationsApplicants will receive an automated email confirming their submission.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within six months after receiving funds.","About the Foundation            The Arthur F. and Alice E. Adams Foundation was established in 1985 by Mrs. Adams out of her desire to support various charitable initiatives.Arthur Adams was a business entrepreneur who managed the Gary Group of telephone interests in the Midwest. Under his leadership as president and CEO, the Strowger Automatic Electric Company of Chicago developed and patented the  dial telephone. Alice (“Elise”) Adams was born in Istanbul, Turkey. Her family relocated to Egypt during her childhood, and she spent much of her time in private school in Switzerland. She became proficient in the use of foreign languages and eventually mastered eleven of them. In the late 1930s, Arthur met and married Elise. They maintained several homes and eventually settled in Miami Beach, Florida. Following Arthur's death in 1958, Elise spent much of her time supporting philanthropic causes until she passed away in 1987."
,,,,,"MissionTo support charitable causes in the areas of education, religion, health, human services, and the arts to organizations located in or serving citizens of Los Angeles County, California, and South Dakota.Annual application deadlinesJune 30Program areasArts, culture, and humanitiesEducationHealthHuman servicesReligionProgram limitationsThe Foundation makes annual grants to organizations in the areas of education, religion, health, human services, and the arts. In keeping with the donor’s desires, for grants to religious organizations, strong preference will be given to Roman Catholic institutions.States servedCalifornia, South DakotaGeographic limitationsIn accordance with the wishes of the donor, the Foundation supports only charitable organizations located in or serving citizens of Los Angeles County, California, and South Dakota.TrusteesWells Fargo Bank, N.A.","The Adams-Mastrovich Family Foundation is organized exclusively for charitable, educational, religious, and scientific purposes. In accordance with the wishes of the donor, the Adams-Mastrovich Family Foundation supports only charitable organizations located in or serving citizens of Los Angeles County, California, and South Dakota.RequirementsTo be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.LimitationsIn keeping with the donor’s desires, for grants to religious organizations, strong preference will be given to Roman Catholic institutions.The foundation will not consider funding requests for the following:Political campaigns or lobbying activitiesFundraising campaignsEndowment campaignsIndividualsTravel for groups or individualsConferences, seminars, workshops, or symposiaBenefits or fundraisersNo capital requests will be considered unless solicited by the Foundation's advisory board.Grantmaking prioritiesSocial service organizations and programs serving the needs of women, particularly victims of domestic violence and women who are mentally ill.Special consideration will be given to organizations that:Were supported by the donor during her lifetimeProvide emergency and/or transitional housingPromote self-sufficiency through education, training, or employmentAssist women in improving their parenting skillsServe the poor and needySupport music and performing arts with special consideration given to programs serving high school and college-age students of theatre, vocal, or orchestral music.Average givingAverage grant size: $5,000 to $20,000Average number of grants per year: 30 to 50Average total giving per year: $1,000,000 to $1,600,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by June 30th to be reviewed at the annual grant meeting that occurs in September.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by November for applications received by the deadline.Required agreements and reportsExcept as otherwise specified when a grant is awarded, a progress report must be submitted within 6 months after receiving funds.","About the Foundation            Mary Mastrovich Adams, born in 1898 in Lead, South Dakota, was the only daughter among the four children born to Eli and Anna Mastrovich.  Of Yugoslavian heritage, Mrs. Adams was strongly influenced by the Catholic Church throughout her life.Widowed at a young age in 1917, she married her second husband William Emory Adams II in 1927.  Adams was a prominent businessman in Deadwood, South Dakota, as well as its mayor for six terms during the 1920s.  The couple maintained residences in both South Dakota and California.  Their home in Deadwood now belongs to the City of Deadwood, and it is open to the public as the Historic Adams House.After William’s death in 1934, Mary continued to divide her time between the West and Midwest.  She also traveled extensively in Europe, making numerous trips to her ancestral home in Yugoslavia.During those years, she deepened her commitment to education and the performing arts and helped many young students obtain their musical training.  She also donated generously to a scholarship fund at Loyola Marymount University and to other institutions of higher learning, particularly those with programs in vocal and instrumental performance.  In addition, she shared her resources with several Roman Catholic parishes, hospitals, museums, and libraries, as well as programs for battered women and an organization serving delinquent teenage boys.  The Adams-Mastrovich Foundation was established in 1957 to sustain her philanthropic interests.After suffering a stroke in 1988, Mary entered the Marycrest Manor Home in Culver City, California, where she resided until her death in 1993."
,,,,,"MissionTo provide for the care of neglected or homeless domestic animals and to alleviate the sickness, suffering, hunger and want of such animals, particularly dogs, and to allow them to live their given life span without ever being, under any circumstances, euthanized.Annual application deadlinesJuly 31Program areasEnvironment, animalsProgram limitationsFunds are to provide care for animals.States servedColoradoPopulation servedAnimalsTrusteesWells Fargo Bank, N.A.","The Lucille Drinkwater Allen Trust provides grants for the care of neglected or homeless domestic animals, particularly dogs, and to alleviate the sickness, suffering, hunger and want of such animals.LimitationsNo funds may be used in aid of any anti-vivisectionist society, except to care for any animals mutilated or suffering from a vivisection experience, i.e. surgical procedures performed for testing, experimentation, and scientific research.Average givingAverage grant size: $2,000 to $3,000Average number of grants per year: 5Average total giving per year: $10,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by July 31 to be reviewed at the annual grant meeting that occurs in August or September.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by August or September for applications received by the deadline.Required agreements and reportsPeriodic progress reports and final reports may be required for funded projects.","About the Foundation            Mrs. Lucille Drinkwater Allen died a resident of Denver, Colorado in 1965.   Mrs. Allen had a lifelong passion for animals and for their proper treatment and general well-being.  Her greatest joy in life was received from the affection, devotion and loyalty of dogs.  The Lucille Drinkwater Allen Trust was created by her Last Will and Testament for the care of neglected, homeless, injured or abused domestic animals, particularly dogs.  The trust has a practice of primarily supporting organizations located in Colorado due to the donor’s ties to the area."
,,,,,"MissionTo inspire superior accomplishments in public service in Floyd County, Iowa through grants for capital needs of organizations specified by the grantor and to other charitable hospitals, organizations that provide medical treatment to the aged, medical research, and housing to the aged or indigent.Annual application deadlinesMarch 30Program areasHealthHuman servicesPublic/society benefitProgram limitationsGrants are limited to capital needs of hospitals, facilities for medical research, facilities for the treatment of diseases or afflictions of aging persons, homes for the aged, homes for the indigent, and specific organizations named by the grantors.States servedIowaGeographic limitationsGrants are limited to organizations located in Floyd County, Iowa.Types of supportGrants are awarded to cover expenditures for major repairs and replacements of facilities, including buildings and equipment; expenditures for building sites, for capital improvements or additions to buildings, facilities and equipment; or expenditures for new locations, buildings, facilities and equipment.TrusteesWells Fargo Bank, N.A.","The Andres Memorial Trust is intended to augment the efforts and funds of its beneficiaries and to inspire and encourage the leaders of the organizations benefitted, and the residents of Floyd County, Iowa to achieve superior accomplishments in the areas of public service benefitted by this trust. The Andres Memorial Trust is comprised of two trusts, one established by Leonard L. Andres, better known as L. L. Andres, and the other established by his wife, Matilda Andres.RequirementsTo be eligible, organizations must qualify as exempt governmental units or charitable organizations under Section 501(c)(3) of the Internal Revenue Code.Grant applications should be submitted only for capital needs for buildings, facilities and equipment.LimitationsThe foundation normally does not fund requests for:ChurchesEducational institutionsOperating expensesSalariesGrantmaking prioritiesGrants are made to the following organizations:Charles City Public LibraryCity Improvement Association of Charles City, IowaFloyd County Historical SocietySt. Charles Cemetery Association of Charles City, IowaHospitalsFacilities for medical researchFacilities for the treatment of diseases or afflictions of aging personsHomes for the agedHomes for the indigentNOTE: Grants to the Charles City Public Library and Floyd County Historical Society qualify only under the Matilda Andres Trust; the St. Charles Cemetery Association qualifies only under the Leonard L. Andres Trust; and the City Improvement Association qualifies under both trusts.Average givingAverage grant size: $20,000Average number of grants per year: 6Average total giving per year: $100,000Annual application period and deadlinesApplications are accepted year-round. Applications must be submitted by March 30 to be reviewed at the annual grant meeting that occurs in May.CommunicationsApplicants will receive an automated email confirming their submission. Grant decisions are generally communicated by August for applications received by the deadline.Required agreements and reportsA progress report must be submitted within 6 months after receiving funds.","About the Foundation            The Andres Memorial Trust was established in both the Matilda Andres Trust Agreement and the Leonard Andres Trust Agreement on August 5, 1968."
